"","V1","V2","V3","V4","V5"
"4621",8,11,11,10,12
"7743",1,2,2,3,2
"ad03im02",17,20,20,20,17
"AG05EL17",1,1,1,1,1
"ar06or07",1,1,1,1,3
"AU06NE01",3,5,11,17,6
"BØ03ED13",3,5,5,5,3
"brodor",4,6,12,9,5
"CARSPI",3,5,10,15,10
"CO07NS07",1,1,1,7,4
"DS4JE30",1,1,1,1,1
"DT07EL26",11,20,18,16,12
"ELEN1NT29",1,1,1,1,1
"EN04IR22",1,1,1,1,1
"EN04NY19",4,20,12,16,18
"EN05AL06",1,1,5,5,8
"EN05AR25",3,1,5,3,3
"EN05NE17",3,4,5,5,6
"en05or19",1,1,2,1,2
"EN06AN04",1,9,12,13,9
"EN06AS30",12,12,14,7,8
"EN06DE07",1,3,1,1,1
"EN06ER09",1,1,1,1,1
"EN06IR08",2,1,1,1,1
"EN06NE18",2,4,12,4,3
"EN06RE25",4,6,10,6,4
"en09ar12",1,1,1,4,1
"EN3HN11",8,6,12,16,20
"En4ur20",3,5,9,6,5
"EN6NE21",16,20,20,20,11
"EN7RL11",6,20,8,2,4
"ER08OM01",1,1,10,9,5
"Es9an25",1,1,1,5,3
"ET05VE02",1,1,20,20,15
"fs71oz05",1,1,1,1,1
"gauson",16,20,19,20,11
"grøben",6,6,9,10,9
"HR04AN16",16,20,1,20,15
"id06ik27",5,4,11,4,3
"IE05LD08",20,1,19,14,16
"IK05RS26",2,4,5,4,7
"IN05NS01",4,5,9,5,6
"kanhil",20,11,11,10,8
"kroåse",3,5,17,20,1
"lavarn",1,10,14,8,8
"LE05ID28",20,20,19,18,14
"LH07EN21",3,5,13,7,4
"LI04NK07",1,1,1,7,3
"LL04NE01",2,6,14,11,6
"MA06HA94",18,20,11,11,7
"Na04IG23",2,1,1,1,2
"NA4IN26",2,4,5,4,2
"nd03ir04",16,20,13,12,11
"nd05go08",2,4,2,4,3
"ND4AR06",10,7,11,2,6
"NE05EL22",20,18,20,20,19
"ng5nd27",1,1,1,1,1
"NN05RT30",4,4,5,5,3
"ON05NS23",1,8,9,16,8
"on06lf03",5,5,12,17,5
"PE06SE02",2,3,11,7,3
"RD08AV13",1,1,1,1,4
"RE03AN16",1,1,10,6,4
"rg05le19",4,4,10,5,4
"seimai",1,1,1,1,1
"SØRMON",5,4,10,20,8
"STERIG",5,9,9,8,8
"TE8ES30",6,6,20,10,6
"TH05AS16",1,1,1,1,1
"TI07AN13",1,5,15,11,12
"UD05RS01",2,3,5,4,3
"valire",17,20,10,9,9
"veneva",3,5,5,4,4
"VESGRE",14,19,20,20,13
"wencat",5,5,11,9,5
"YB02RD21",2,1,19,1,1
