"","Trial 1","Trial 2","Trial 3","Trial 4","Trial 5","Trial 6","Trial 7","Trial 8","Trial 9","Trial 10","Trial 1 RT","Trial 2 RT","Trial 3 RT","Trial 4 RT","Trial 5 RT","Trial 6 RT","Trial 7 RT","Trial 8 RT","Trial 9 RT","Trial 10 RT","Seq"
"4621",0,1,0,1,1,1,1,0,1,1,1.0678923000014,3.2426981000026,0.859524800005602,4.73724229999789,1.9672556000005,0.642529600001581,0.795852700000978,0.720294999999169,1.54584089999844,0.397361000003002,1
"7743",1,1,1,1,1,1,1,0,1,1,24.9575356999994,16.7557135000025,17.3818184999982,18.5676276000013,16.1666270999995,16.5297865999964,16.785821999998,16.6640179999958,16.7435181999972,16.3568486000004,1
"ad03im02",1,1,1,1,1,1,1,1,1,1,1.15576009999495,9.01988319999509,1.56372289999854,12.2222287999975,19.1620980999942,0.449523299997963,4.04726919999666,0.801413599998341,0.0139934000035282,2.3035297000024,1
"ar06or07",1,1,1,1,1,1,1,1,1,1,17.1846210000003,7.17922739999995,34.2111826999972,27.2890568000003,22.4651220000014,25.2918159000001,20.2752251999991,22.2751742999972,18.8996215000006,26.582269399998,1
"BØ03ED13",1,1,1,1,1,1,1,1,1,1,3.73425560000032,1.88041750000048,5.02597570000034,1.79381339999964,3.67247470000075,8.21135380000123,4.55691730000035,2.79370700000072,5.263000500001,3.91681659999995,1
"CO07NS07",1,1,1,1,0,1,1,1,1,1,6.12262390000251,8.27680519999922,10.1705913000005,4.36274779999803,2.84616129999995,0.619561499999691,3.68016930000158,5.00665669999944,6.04335870000068,4.80050259999916,1
"DT07EL26",1,1,1,1,1,1,1,1,1,0,33.9096609000007,32.6478410000018,28.5977989999992,25.6373067999994,30.6528474000006,24.5731503999996,40.1120340999987,30.1392119999982,26.6691795999977,24.7500193999986,1
"ELEN1NT29",0,0,1,1,1,1,1,1,0,1,7.00941330000205,5.78468340000109,4.53900780000185,7.30962160000126,9.50023940000028,7.32955149999907,3.59637890000158,2.94992659999843,5.90330119999999,9.47396700000172,1
"EN04IR22",1,1,0,1,1,1,1,1,1,1,8.73237700000027,7.33907299999555,0.58177770000475,0.760924400005024,1.86531010000181,0.566490500001237,0.413968699998804,0.453046700000414,1.50299190000078,5.35542829999758,1
"EN04NY19",1,1,1,0,1,1,1,1,0,1,12.0853610999984,2.3922593999996,9.41068389999782,0.37124479999693,0.905353500002093,0.744707700003346,0.0461749999994936,5.12910869999905,0.823679699999047,3.864935900001,1
"EN05AL06",0,1,1,0,1,1,1,0,1,0,7.52463780000107,1.97379899999942,0.842027200000302,1.64954009999929,2.64429259999815,0.213927900000272,1.02132890000212,0.315427100002125,2.6053961999969,3.80006100000173,1
"EN05AR25",1,0,0,1,1,1,0,0,1,0,2.38474700000006,5.78103550000014,13.4334851999993,7.48323689999961,9.50560889999906,1.46653570000126,7.24496380000346,3.37251359999937,5.56999240000005,3.78869510000004,1
"en05ar27",0,1,1,0,1,1,1,1,1,1,2.81581650000589,3.86979750000319,0.504838099994231,3.31342559999757,1.42062809999334,1.21734920000017,1.04001889999927,0.341533000006166,0.341321599997173,0.32796600000438,1
