Irreg1;;Irreg2;;Irreg3;;Irreg4;
1;Red;60;Yellow;75;Yellow;90;Yellow
2;Red;61;Yellow;76;Red;91;Red
3;Red;62;Yellow;77;Yellow;92;Red
4;Yellow;63;Yellow;78;Yellow;93;Yellow
5;Red;64;Yellow;79;Red;94;Red
6;Red;65;Red;80;Yellow;95;Red
7;Red;66;Yellow;81;Red;96;Yellow
8;Red;67;Yellow;82;Yellow;97;Red
9;Red;68;Yellow;83;Red;98;Red
10;Red;69;Red;84;Yellow;99;Red
11;Yellow;70;Yellow;85;Yellow;100;Yellow
12;Red;71;Yellow;86;Red;101;Red
13;Red;72;Red;87;Red;102;Red
14;Red;73;Yellow;88;Yellow;103;Red
15;Yellow;74;Yellow;89;Yellow;104;Yellow
